mediamatters.org
deshabhimani.com
indypendent.org
egbertowillies.com
bitchmedia.org
electoral-vote.com
villagevoice.com
curvemag.com
miaminewtimes.com
austinchronicle.com
americanprogress.org
truthdig.com
democratichub.com
blackmainstreet.net
haaretz.com
out.com
texasobserver.org
internationalviewpoint.org
takepart.com
democraticunderground.com
nationofchange.org
republicreport.org
blackamericaweb.com
libcom.org
putintrump.org
readersupportednews.org
stpete4peace.org
nymag.com
evonomics.com
popularresistance.org
thelily.com
thegrio.com
achnews.org
shondaland.com
revcom.us
theguardiansofdemocracy.com
theestablishment.co
alternet.org
drudge.com
freespeech.org
therealnews.com
au.org
rawstory.com
rappler.com
thecanary.co
thelondoneconomic.com
care2.com
liberationnews.org
huffingtonpost.com
truthout.org
trofire.com
wonkette.com
wallstreetonparade.com
thedailybeast.com
readingthepictures.org
everydayfeminism.com
capitalandmain.com
thefrisky.com
themilitant.com
dallasvoice.com
splinternews.com
verifiedpolitics.com
them.us
slate.com
rightwingwatch.org
hillreporter.com
mediaite.com
washingtonpress.com
currentaffairs.org
rollingstone.com
vanityfair.com
feministcurrent.com
americablog.com
scarymommy.com
newpol.org
ffrf.org
upworthy.com
commondreams.org
autostraddle.com
democracychronicles.org
thedodo.com
whowhatwhy.org
countercurrents.org
deepsouthvoice.com
deadspin.com
theburningspear.com
angrywhitemen.org
thewalrus.ca
marxist.com
onegreenplanet.org
rewire.news
politicususa.com
yourblackworld.net
geopoliticsalert.com
popular.info
prospect.org
newscorpse.com
itsgoingdown.org
advocate.com
chicagoreader.com
ips-dc.org
afj.org
canadafactcheck.ca
democracynow.org
projectcensored.org
towleroad.com
act.tv
washingtonsources.org
newstatesman.com
cosmopolitan.com
prwatch.org
foreignpolicyjournal.com
change.org
frontpagelive.com
counterpunch.org
politizoom.com
telesurtv.net
thedailybanter.com
desmogblog.com
electronicintifada.net
moonofalabama.org
theoutline.com
washingtonian.com
blackagendareport.com
theroot.com
hrc.org
wehuntedthemammoth.com
juancole.com
shadowproof.com
littlegreenfootballs.com
newyorker.com
bostonreview.net
bust.com
workers.org
good.is
mashable.com
esquire.com
themarysue.com
thesternfacts.com
meduza.io
leftfootforward.org
theweek.com
crimethinc.com
thenewcivilrightsmovement.com
politicaldig.com
nowtoronto.com
uproxx.com
pressprogress.ca
dailysoundandfury.com
vox.com
daily49er.com
guardianlv.com
sourcepolitics.com
newshounds.us
palestinechronicle.com
progressivearmy.com
nrdc.org
thenation.com
shareblue.com
boingboing.net
gizmodo.com
canadiandimension.com
inequalitymedia.org
globalvoices.org
queerty.com
rantt.com
middleeastmonitor.com
foreignpolicynews.org
wearyourvoicemag.com
iowastartingline.com
sourcewatch.org
ghionjournal.com
talkingpointsmemo.com
dissentmagazine.org
msmagazine.com
zcomm.org
salon.com
crooked.com
refinery29.com
leftvoice.org
freepress.org
blacklivesmatter.com
newrepublic.com
opednews.com
splcenter.org
merryjane.com
north99.org
